Champion;Ally;Score
irelia;Xerath;12.6
irelia;Zaahen;8.37
irelia;Zyra;8.32
irelia;Ziggs;6.42
irelia;Diana;6.35
irelia;Sona;6.27
irelia;Zed;6.23
irelia;Sylas;5.51
irelia;Akali;5.19
irelia;Anivia;4.95
irelia;Bard;4.94
irelia;Pyke;4.51
irelia;Xin Zhao;4.49
irelia;Janna;4.36
irelia;Braum;4.24
irelia;Rek'Sai;4.09
irelia;Ryze;3.83
irelia;Ashe;3.7
irelia;Mordekaiser;3.7
irelia;Xayah;3.58
irelia;Kindred;3.36
irelia;Leona;3.24
irelia;Vayne;3.2
irelia;Zac;3.02
irelia;Lee Sin;3.0
irelia;Ekko;2.74
irelia;Malphite;2.7
irelia;Zoe;2.52
irelia;Diana;2.39
irelia;Tristana;2.15
irelia;Samira;1.84
irelia;Jhin;1.82
irelia;Seraphine;1.78
irelia;Lulu;1.56
irelia;Senna;1.55
irelia;Rakan;1.5
irelia;Ahri;1.49
irelia;Zeri;1.39
irelia;Aphelios;1.39
irelia;Master Yi;1.31
irelia;Jinx;1.19
irelia;Poppy;1.11
irelia;Thresh;1.04
