Champion;Ally;Score
kayle;Talon;10.48
kayle;LeBlanc;9.15
kayle;Shaco;6.85
kayle;Xayah;6.39
kayle;Sona;6.15
kayle;Samira;4.92
kayle;Riven;4.59
kayle;Rakan;4.4
kayle;Malphite;4.11
kayle;Zeri;4.06
kayle;Sylas;4.03
kayle;Jax;3.98
kayle;Viktor;3.96
kayle;Jinx;3.51
kayle;Ambessa;3.51
kayle;Rell;3.5
kayle;Blitzcrank;3.49
kayle;Briar;3.49
kayle;Katarina;3.41
kayle;Diana;3.21
kayle;Qiyana;3.21
kayle;Kha'Zix;3.0
kayle;Sivir;2.7
kayle;Zilean;2.7
kayle;Bard;2.64
kayle;Rengar;2.59
kayle;Janna;2.56
kayle;Zed;2.48
kayle;Syndra;2.14
kayle;Akshan;2.06
kayle;Pyke;2.0
kayle;Thresh;1.91
kayle;Malzahar;1.88
kayle;Nami;1.65
kayle;Master Yi;1.52
kayle;Jhin;1.47
kayle;Caitlyn;1.36
kayle;Akali;1.25
kayle;Viego;1.16
kayle;Lucian;1.09
kayle;Ashe;1.07
kayle;Leona;1.0
