Champion;Enemy;Matchup Type;Value
kayle;Yasuo;Game;10.620000000000001
kayle;Gangplank;Game;10.48
kayle;Zaahen;Game;7.91
kayle;Garen;Game;7.59
kayle;K'Sante;Game;7.59
kayle;Sion;Game;5.48
kayle;Renekton;Game;5.0
kayle;Mordekaiser;Game;3.73
kayle;Sett;Game;2.69
kayle;Ambessa;Game;1.8399999999999999
kayle;Aatrox;Game;1.67
kayle;Fiora;Game;1.63
kayle;Darius;Game;1.09
kayle;Ornn;Game;-1.15
kayle;Malphite;Game;-1.22
kayle;Volibear;Game;-1.4500000000000002
kayle;Yone;Game;-1.5
kayle;Dr. Mundo;Game;-2.79
kayle;Jayce;Game;-2.83
kayle;Riven;Game;-3.2800000000000002
kayle;Gwen;Game;-4.46
kayle;Irelia;Game;-5.42
kayle;Jax;Game;-6.23
kayle;Shen;Game;-6.72
kayle;Yasuo;Game;-7.359999999999999
kayle;Varus;Game;-8.36
kayle;Urgot;Game;-10.23
kayle;Nasus;Game;-10.42
kayle;Garen;Lane;1.58
kayle;K'Sante;Lane;-1.05
kayle;Dr. Mundo;Lane;-1.07
kayle;Nasus;Lane;-1.44
kayle;Singed;Lane;-3.29
kayle;Ornn;Lane;-3.36
kayle;Zaahen;Lane;-3.79
kayle;Sett;Lane;-4.75
kayle;Fiora;Lane;-5.64
kayle;Yasuo;Lane;-5.66
kayle;Gwen;Lane;-6.16
kayle;Ambessa;Lane;-7.61
kayle;Volibear;Lane;-7.63
kayle;Mordekaiser;Lane;-7.96
kayle;Gangplank;Lane;-8.11
kayle;Jax;Lane;-8.22
kayle;Urgot;Lane;-8.31
kayle;Malphite;Lane;-8.43
kayle;Sion;Lane;-8.62
kayle;Yasuo;Lane;-8.69
kayle;Darius;Lane;-8.74
kayle;Yone;Lane;-8.95
kayle;Renekton;Lane;-9.93
kayle;Riven;Lane;-10.4
kayle;Aatrox;Lane;-10.71
kayle;Gnar;Lane;-11.9
kayle;Jayce;Lane;-12.03
kayle;Varus;Lane;-12.13
kayle;Irelia;Lane;-18.41
