Champion;Enemy;Matchup Type;Value
kayle;Irelia;Lane;-14.85
kayle;Yorick;Lane;-10.36
kayle;Jayce;Lane;-9.46
kayle;Tryndamere;Lane;-9.28
kayle;Malphite;Lane;-8.16
kayle;Pantheon;Lane;-8.04
kayle;Aatrox;Lane;-7.96
kayle;Teemo;Lane;-7.79
kayle;Gnar;Lane;-7.75
kayle;Gangplank;Lane;-7.73
kayle;Mel;Lane;-7.6
kayle;Malphite;Game;-7.55
kayle;Sion;Lane;-7.55
kayle;Yasuo;Lane;-7.35
kayle;Riven;Lane;-7.14
kayle;Renekton;Lane;-7.05
kayle;Jax;Lane;-6.56
kayle;Illaoi;Lane;-6.35
kayle;Darius;Lane;-6.29
kayle;Yone;Lane;-6.02
kayle;Mordekaiser;Lane;-5.92
kayle;Cho'Gath;Lane;-4.73
kayle;Teemo;Game;-4.22
kayle;Ambessa;Lane;-4.17
kayle;Irelia;Game;-4.09
kayle;Ahri;Lane;-4.06
kayle;Jax;Game;-4.05
kayle;Fiora;Lane;-3.94
kayle;Malzahar;Lane;-3.9
kayle;Sett;Lane;-3.69
kayle;Zaahen;Lane;-3.29
kayle;Nasus;Game;-3.19
kayle;Volibear;Lane;-3.06
kayle;Cho'Gath;Game;-3.0300000000000002
kayle;Nasus;Lane;-2.9
kayle;Sion;Game;-2.81
kayle;Gwen;Lane;-2.75
kayle;Dr. Mundo;Game;-2.73
kayle;Yasuo;Lane;-2.7
kayle;Urgot;Lane;-2.6
kayle;Singed;Lane;-2.35
kayle;Yasuo;Game;-2.2399999999999998
kayle;Dr. Mundo;Lane;-2.13
kayle;Yone;Game;-2.07
kayle;Ornn;Lane;-2.05
kayle;Pantheon;Game;-1.72
kayle;Urgot;Game;-1.26
kayle;Ahri;Game;1.15
kayle;Renekton;Game;1.9
kayle;Darius;Game;2.19
kayle;Singed;Game;2.21
kayle;Yasuo;Game;3.29
kayle;Garen;Game;3.5700000000000003
kayle;Mel;Game;3.6799999999999997
kayle;Volibear;Game;4.64
kayle;Fiora;Game;4.65
kayle;Gwen;Game;4.6899999999999995
kayle;Illaoi;Game;4.89
kayle;Gangplank;Game;7.7299999999999995
kayle;K'Sante;Game;10.86
